,loan_amnt,loan_status,person_income
0,1000,0,9600
1,5500,1,9600
2,35000,1,65500
3,35000,1,54400
4,2500,1,9900
5,35000,1,77100
6,35000,1,78956
7,35000,1,83000
8,1600,1,10000
9,35000,1,85000
10,4500,1,10000
11,35000,1,95000
12,35000,1,108160
13,35000,0,115000
14,30000,0,500000
15,35000,0,120000
16,35000,1,92111
17,35000,1,113000
18,1750,1,10800
19,35000,0,162500
20,34800,0,137000
21,34000,1,65000
22,1500,0,10980
23,33950,1,80000
24,33000,1,67746
25,4575,1,11000
26,1400,0,11000
27,32500,1,65000
28,4000,1,11389
29,2000,1,11520
30,32000,0,120000
31,31050,1,95000
32,24250,0,306000
33,7800,0,300000
34,2500,1,12000
35,30000,1,48000
36,30000,1,64000
37,30000,1,75000
38,30000,1,62050
39,2500,1,12000
40,20000,0,300000
41,24250,0,300000
42,10000,0,300000
43,25000,0,300000
44,18000,0,300000
45,30000,1,80690
46,30000,1,66300
47,30000,1,89028
48,30000,1,78000
49,30000,1,92004
50,30000,1,97000
51,30000,0,120000
52,10000,0,280000
53,20000,0,277104
54,30000,0,128000
55,30000,0,131000
56,12000,0,275000
57,25000,1,221850
58,29100,1,70000
59,1500,0,12000
60,28000,0,260000
61,20000,0,259000
62,9600,0,255000
63,25000,0,250000
64,3000,1,12000
65,28000,1,65000
66,28000,1,85000
67,6100,1,12000
68,28000,1,88000
69,4200,1,12000
70,4750,1,12000
71,28000,1,83004
72,18000,0,250000
73,28000,0,100000
74,28000,0,110000
75,28000,0,151200
76,3250,1,12000
77,27500,1,70000
78,27050,1,73200
79,27000,1,83000
80,26000,1,62500
81,25600,0,120000
82,1600,0,12360
83,25475,1,60000
84,20000,0,234000
85,20000,0,234000
86,21600,0,234000
87,11900,1,221004
88,25000,0,232500
89,35000,0,230000
90,25300,1,83000
91,2000,1,12600
92,1750,0,12600
93,25000,1,42500
94,3000,1,12816
95,3650,1,12960
96,20000,0,226000
97,30000,0,225000
98,35000,1,213000
99,4500,1,12960
100,2400,1,12996
101,25000,1,42000
102,25000,1,48000
103,3600,1,12996
104,25000,1,42360
105,25000,1,49000
106,25000,0,225000
107,3000,0,225000
108,7500,0,225000
109,25000,0,225000
110,25000,1,49464
111,25000,1,50000
112,25000,1,50000
113,25000,1,44000
114,25000,1,50000
115,25000,1,50004
116,25000,1,50004
117,25000,1,52000
